Year,Class,Metric,Number of Species
2002,Amphibians,Critically Endangered,30
2003,Amphibians,Critically Endangered,30
2004,Amphibians,Critically Endangered,413
2006,Amphibians,Critically Endangered,442
2007,Amphibians,Critically Endangered,441
2008,Amphibians,Critically Endangered,475
2009,Amphibians,Critically Endangered,484
2010,Amphibians,Critically Endangered,486
2011,Amphibians,Critically Endangered,498
2012,Amphibians,Critically Endangered,509
2013,Amphibians,Critically Endangered,520
2014,Amphibians,Critically Endangered,518
2015,Amphibians,Critically Endangered,528
2016,Amphibians,Critically Endangered,546
2017,Amphibians,Critically Endangered,552
2018,Amphibians,Critically Endangered,550
2019,Amphibians,Critically Endangered,588
2020,Amphibians,Critically Endangered,650
2021,Amphibians,Critically Endangered,673
2022,Amphibians,Critically Endangered,681
2002,Amphibians,Endangered,37
2003,Amphibians,Endangered,37
2004,Amphibians,Endangered,729
2006,Amphibians,Endangered,738
2007,Amphibians,Endangered,737
2008,Amphibians,Endangered,755
2009,Amphibians,Endangered,754
2010,Amphibians,Endangered,758
2011,Amphibians,Endangered,764
2012,Amphibians,Endangered,767
2013,Amphibians,Endangered,783
2014,Amphibians,Endangered,789
2015,Amphibians,Endangered,810
2016,Amphibians,Endangered,852
2017,Amphibians,Endangered,869
2018,Amphibians,Endangered,903
2019,Amphibians,Endangered,964
2020,Amphibians,Endangered,1036
2021,Amphibians,Endangered,1085
2022,Amphibians,Endangered,1103
2002,Amphibians,Total Assessed,263
2003,Amphibians,Total Assessed,401
2004,Amphibians,Total Assessed,"5,743"
2006,Amphibians,Total Assessed,"5,918"
2007,Amphibians,Total Assessed,"5,915"
2008,Amphibians,Total Assessed,"6,260"
2009,Amphibians,Total Assessed,"6,285"
2010,Amphibians,Total Assessed,"6,296"
2011,Amphibians,Total Assessed,"6,338"
2012,Amphibians,Total Assessed,"6,374"
2013,Amphibians,Total Assessed,"6,409"
2014,Amphibians,Total Assessed,"6,414"
2015,Amphibians,Total Assessed,"6,460"
2016,Amphibians,Total Assessed,"6,534"
2017,Amphibians,Total Assessed,"6,609"
2018,Amphibians,Total Assessed,"6,722"
2019,Amphibians,Total Assessed,"6,794"
2020,Amphibians,Total Assessed,"7,212"
2021,Amphibians,Total Assessed,"7,296"
2022,Amphibians,Total Assessed,"7,316"
2002,Amphibians,Total Threatened,157
2003,Amphibians,Total Threatened,157
2004,Amphibians,Total Threatened,1770
2006,Amphibians,Total Threatened,1811
2007,Amphibians,Total Threatened,1808
2008,Amphibians,Total Threatened,1905
2009,Amphibians,Total Threatened,1895
2010,Amphibians,Total Threatened,1898
2011,Amphibians,Total Threatened,1917
2012,Amphibians,Total Threatened,1933
2013,Amphibians,Total Threatened,1950
2014,Amphibians,Total Threatened,1957
2015,Amphibians,Total Threatened,1994
2016,Amphibians,Total Threatened,2068
2017,Amphibians,Total Threatened,2100
2018,Amphibians,Total Threatened,2092
2019,Amphibians,Total Threatened,2200
2020,Amphibians,Total Threatened,2390
2021,Amphibians,Total Threatened,2488
2022,Amphibians,Total Threatened,2515
2002,Amphibians,Vulnerable,90
2003,Amphibians,Vulnerable,90
2004,Amphibians,Vulnerable,628
2006,Amphibians,Vulnerable,631
2007,Amphibians,Vulnerable,630
2008,Amphibians,Vulnerable,675
2009,Amphibians,Vulnerable,657
2010,Amphibians,Vulnerable,654
2011,Amphibians,Vulnerable,655
2012,Amphibians,Vulnerable,657
2013,Amphibians,Vulnerable,647
2014,Amphibians,Vulnerable,650
2015,Amphibians,Vulnerable,656
2016,Amphibians,Vulnerable,670
2017,Amphibians,Vulnerable,679
2018,Amphibians,Vulnerable,639
2019,Amphibians,Vulnerable,648
2020,Amphibians,Vulnerable,704
2021,Amphibians,Vulnerable,730
2022,Amphibians,Vulnerable,731
2002,Birds,Critically Endangered,182
2003,Birds,Critically Endangered,182
2004,Birds,Critically Endangered,179
2006,Birds,Critically Endangered,181
2007,Birds,Critically Endangered,189
2008,Birds,Critically Endangered,190
2009,Birds,Critically Endangered,192
2010,Birds,Critically Endangered,190
2011,Birds,Critically Endangered,189
2012,Birds,Critically Endangered,197
2013,Birds,Critically Endangered,198
2014,Birds,Critically Endangered,213
2015,Birds,Critically Endangered,218
2016,Birds,Critically Endangered,225
2017,Birds,Critically Endangered,222
2018,Birds,Critically Endangered,224
2019,Birds,Critically Endangered,225
2020,Birds,Critically Endangered,223
2021,Birds,Critically Endangered,225
2022,Birds,Critically Endangered,231
2002,Birds,Endangered,326
2003,Birds,Endangered,331
2004,Birds,Endangered,345
2006,Birds,Endangered,351
2007,Birds,Endangered,356
2008,Birds,Endangered,361
2009,Birds,Endangered,362
2010,Birds,Endangered,372
2011,Birds,Endangered,382
2012,Birds,Endangered,389
2013,Birds,Endangered,397
2014,Birds,Endangered,419
2015,Birds,Endangered,416
2016,Birds,Endangered,448
2017,Birds,Endangered,461
2018,Birds,Endangered,469
2019,Birds,Endangered,461
2020,Birds,Endangered,460
2021,Birds,Endangered,447
2022,Birds,Endangered,423
2002,Birds,Total Assessed,"2,138"
2003,Birds,Total Assessed,"2,139"
2004,Birds,Total Assessed,"9,917"
2006,Birds,Total Assessed,"9,934"
2007,Birds,Total Assessed,"9,956"
